Id,SalePrice
1461,123429.3
1462,151171.47
1463,177668.42
1464,179677.14
1465,199336.31
1466,180435.4
1467,171543.14
1468,160445.27
1469,176973.69
1470,119489.92
1471,186971.33
1472,95383.38
1473,91241.11
1474,139496.08
1475,113020.79
1476,401111.1
1477,243895.89
1478,288432.53
1479,320861.4
1480,476875.84
1481,358516.72
1482,207781.06
1483,169373.12
1484,154531.27
1485,167404.86
1486,196249.48
1487,370437.56
1488,253132.33
1489,195229.48
1490,223347.17
1491,194079.98
1492,103669.37
1493,185486.7
1494,280670.8
1495,288231.4
1496,214111.02
1497,179424.92
1498,156863.47
1499,153935.53
1500,152498.67
1501,164400.66
1502,139459.05
1503,245348.47
1504,225081.11
1505,221835.27
1506,182800.14
1507,259039.83
1508,184516.17
1509,158513.3
1510,141343.23
1511,145008.14
1512,177301.3
1513,161046.11
1514,135728.84
1515,259723.02
1516,147180.48
1517,172014.92
1518,133937.97
1519,199411.77
1520,134222.81
1521,139670.72
1522,188301.08
1523,119639.7
1524,132445.97
1525,122219.39
1526,122146.78
1527,111911.31
1528,127224.52
1529,143061.53
1530,165574.33
1531,117301.53
1532,102272.734
1533,130941.34
1534,117227.36
1535,141753.05
1536,109810.23
1537,60059.887
1538,138719.27
1539,200083.8
1540,73356.45
1541,142459.66
1542,139005.1
1543,154125.52
1544,80282.91
1545,97972.82
1546,131856.9
1547,137630.95
1548,132398.5
1549,109862.09
1550,128928.44
1551,112285.555
1552,168889.58
1553,166534.67
1554,113984.14
1555,170743.3
1556,105844.35
1557,111196.82
1558,92973.71
1559,119267.09
1560,122680.84
1561,120977.29
1562,126351.7
1563,127927.5
1564,159616.28
1565,155512.52
1566,241090.72
1567,83665.016
1568,239793.89
1569,127871.96
1570,140279.02
1571,132134.02
1572,137585.56
1573,216765.73
1574,125385.84
1575,211070.0
1576,219544.78
1577,175444.4
1578,136261.45
1579,147287.83
1580,185211.31
1581,161378.84
1582,119562.875
1583,329610.53
1584,227925.86
1585,140504.19
1586,77485.45
1587,115933.91
1588,141202.12
1589,100955.56
1590,131519.62
1591,116179.516
1592,101231.08
1593,126755.88
1594,151249.02
1595,148236.45
1596,210988.23
1597,196162.64
1598,180703.72
1599,161316.1
1600,171173.89
1601,73192.83
1602,121728.91
1603,98201.984
1604,243029.06
1605,220867.39
1606,165923.36
1607,180509.03
1608,190985.61
1609,183884.33
1610,160637.45
1611,146976.22
1612,170333.61
1613,176943.89
1614,122508.3
1615,91995.27
1616,86573.625
1617,84229.58
1618,123870.79
1619,125484.234
1620,158858.22
1621,141075.98
1622,146618.02
1623,279808.8
1624,225490.78
1625,120244.766
1626,158087.9
1627,174598.94
1628,250620.48
1629,175096.64
1630,417319.12
1631,205168.42
1632,270362.22
1633,165910.92
1634,177225.22
1635,166486.92
1636,157311.05
1637,197277.25
1638,198008.33
1639,192415.36
1640,255704.73
1641,189854.95
1642,213940.02
1643,223291.53
1644,218447.3
1645,242338.44
1646,152273.12
1647,152190.39
1648,139598.8
1649,140231.14
1650,111257.336
1651,123327.01
1652,90360.16
1653,91665.34
1654,140382.64
1655,126789.96
1656,138835.31
1657,141822.7
1658,146018.03
1659,108309.41
1660,178874.14
1661,439662.94
1662,373353.66
1663,382287.0
1664,443507.12
1665,317480.84
1666,318433.38
1667,329762.0
1668,320837.34
1669,252250.38
1670,346064.88
1671,291542.97
1672,438838.78
1673,296220.47
1674,248320.16
1675,203181.17
1676,192125.83
1677,214221.23
1678,441897.4
1679,393460.56
1680,359769.16
1681,240588.86
1682,298215.8
1683,192338.27
1684,171415.42
1685,174200.75
1686,165616.52
1687,166719.7
1688,185215.19
1689,191421.98
1690,176042.61
1691,167605.92
1692,227854.77
1693,157721.97
1694,166577.42
1695,159487.2
1696,278988.78
1697,161228.25
1698,356962.72
